mu,qid,nDCG_R1,nDCG_R2
0.1,7.0,0.8664401977801368,0.9360082949335767
0.1,8.0,0.38097179678159365,0.38097179678159365
0.1,9.0,0.0,0.0
0.1,10.0,0.8044732330125602,0.7836428577857835
0.1,11.0,0.6634943640782853,0.6308232693696084
0.1,12.0,0.7199773775799176,0.7252006743880972
0.1,13.0,0.4712158757199133,0.4712158757199133
0.1,14.0,0.7781155066379214,0.7837834106474282
0.1,15.0,0.5138749241456431,0.6139491604128718
0.1,16.0,0.7905295803489112,0.7517426563877956
0.1,17.0,0.8595687115290287,0.8786381780682381
0.1,18.0,0.9282851645109501,0.9320194735881872
0.1,19.0,0.6809589438369387,0.6290802821216858
0.1,20.0,0.967298386857118,0.9684755477079526
0.1,21.0,0.8107292573564864,0.8107292573564864
0.1,22.0,0.8831238105140433,0.8979350394434923
0.1,23.0,0.8834844738000237,0.8841606929965747
0.1,24.0,0.9273835820616646,0.9184994062271492
0.1,25.0,0.8242726019997224,0.8248894466617906
0.1,26.0,0.8503490718309931,0.8503490718309931
0.1,27.0,0.932127583573335,0.932127583573335
0.1,28.0,0.9428005952239759,0.9434039678986309
0.1,29.0,0.8516524622049824,0.8287739126088317
0.1,30.0,0.8808896445096234,0.8808896445096234
0.1,31.0,0.3520754855748004,0.3524453559081077
0.1,32.0,0.2839494431967705,0.2839494431967705
0.1,33.0,0.7219163570729769,0.7243556455160098
0.1,34.0,0.4290419356995601,0.4290419356995601
0.1,35.0,0.664063375402174,0.6467985073615266
0.1,36.0,0.9767514386170004,0.9780740439803
0.1,37.0,0.7783355860841272,0.7962893397246382
0.1,38.0,0.9453382783356529,0.943164154097805
0.1,39.0,0.9664697328709919,0.9664697328709919
0.1,40.0,0.8378654121803345,0.8139056871741042
0.2,1.0,0.8364713928251899,0.846477270825273
0.2,2.0,0.8490650495555893,0.833147647798252
0.2,3.0,0.7459413854057952,0.7435586343418025
0.2,4.0,0.25711046737534016,0.27142937711121645
0.2,5.0,0.6642047612890934,0.6294008319792094
0.2,6.0,0.9241256794184907,0.930755340365074
0.2,7.0,0.8664401977801368,0.9360082949335767
0.2,8.0,0.38097179678159365,0.38097179678159365
0.2,9.0,0.0,0.0
0.2,10.0,0.8151962527342926,0.7836428577857835
